title,link,institution,subject,level,prerequisites,language,videotranscript,associatedprograms,associatedskills
Inteligencia emocionalpara el liderazgo efectivo ycolaboración,https://www.edx.org/learn/leadership/universidades-anahuac-inteligencia-emocional-para-el-liderazgo-efectivo-y-colaboracion,Universidades Anáhuac,Social Sciences,Introductory,Ninguno,Español,Español,Professional Certificate inInteligencia emocional y liderazgo,"Self-Discipline, Leadership, Team Management, Emotional Intelligence"
"A-level Mathematics forYear 12 - Course 1:Algebraic Methods, Grap…",https://www.edx.org/learn/math/imperial-college-london-a-level-mathematics-for-year-12-course-1-algebraic-methods-graphs-and-applied-mathematics-methods,Imperial College London,Math,Intermediate,None,English,English,None,"Applied Mathematics, Basic Math, Language Construct"
"Language, Proof and Logic",https://www.edx.org/learn/logic/stanford-university-language-proof-and-logic,Stanford University,Philosophy & Ethics,Introductory,"This course has no prerequisites except an interest in the way in which we use language to construct arguments and justify conclusions. If that interests you, then you're all set! Go sign up.",English,English,None,None
Backyard Meteorology:The Science of Weather,https://www.edx.org/learn/natural-sciences/harvard-university-backyard-meteorology-the-science-of-weather,Harvard University,Science,Introductory,None,English,English,None,"Meteorology, Computer Simulation, Weather Forecasting, Forecasting"
Back-end ApplicationDevelopment with Node.jsand Express,https://www.edx.org/learn/node-js/ibm-back-end-application-development-with-node-js-and-express,IBM,Computer Science,Intermediate,Familiarity with JavaScript.,English,English,MicroBachelors Program inFull Stack Application DevelopmentProfessional Certificate inCloud and Application Development FoundationsProfessional Certificate inFull Stack Developer,"Artificial Intelligence, Node.js, Parsing, Stack Overflow, Github, Server-Side, Front End (Software Engineering), Cloud Applications, Continuous Delivery, React.js, Application Development, JSON, Web Applications, JavaScript Libraries, Full Stack Development, Event-Driven Programming, Web Application Frameworks, User Interface, JavaScript (Programming Language), Cloud Development, Git (Version Control System), Authentications, JavaScript Frameworks, Cloud-Native Computing, HTML5, IBM Cloud Computing, ECMAScript 2015, Web Services, DevOps, Application Programming Interface (API), RESTful API, Callback Functions"
Pre-University Physics,https://www.edx.org/learn/physics/delft-university-of-technology-pre-university-physics,Delft University of Technology,Physics,Introductory,"This course revises high school level physics and moves on to show how it is presented at university level. It closes the readiness gap between high school and university. Participants should have the following background knowledge:high school level calculus (or equivalent), including knowledge of derivatives and integrals.high school level physics.",English,English,"Professional Certificate inScience and Engineering Prep: Pre-university Calculus and Physics.Professional Certificate inScience and Engineering - Pre-university Calculus, Physics and Chemistry","Aerospace Engineering, Applied Physics, Mechanical Engineering, Physics, Electrical Engineering"
Gestión de proyectos dedesarrollo,https://www.edx.org/learn/project-management/inter-american-development-bank-gestion-de-proyectos-de-desarrollo,Inter-American Development Bank,Business & Management,Introductory,Ninguno.,Español,Español,Professional Certificate inGestión Pública para el Desarrollo,Social Development
Science & Cooking: FromHaute Cuisine to SoftMatter Science (chemistr…,https://www.edx.org/learn/food-science/harvard-university-science-cooking-from-haute-cuisine-to-soft-matter-science-chemistry,Harvard University,Chemistry,Introductory,"Basic mathematics concepts (arithmetic, algebra, geometry)",English,English,Professional Certificate inThe Science of Cooking,"Chemical Reactions, Physics, Soft Matter, Chemistry, Cooking, Influencing Skills, Research"
Introduction to HumanResources (HR) leadershipand HR management stra…,https://www.edx.org/learn/human-resources/stellenbosch-university-introduction-to-human-resources-hr-leadership-and-hr-management-strategies,Stellenbosch University,Business & Management,Intermediate,None,English,English,Professional CertificateinStrategic Human Resources Management,"Human Resource Management, Leadership, Human Resource Strategy, Governance, Strategic Management, Industrial And Organizational Psychology"
Excel avanzado:importación y análisis dedatos,https://www.edx.org/learn/excel/universitat-politecnica-de-valencia-excel-avanzado-importacion-y-analisis-de-datos,Universitat Politècnica de València,Data Analysis & Statistics,Advanced,Conocimientos de Excel a nivel intermedio alto,Español,Español,Professional CertificateinExcel para los negociosProfessional CertificateinExcel para los negocios nivel avanzado,"Microsoft Excel, Data Modeling, Data Import/Export, Business Intelligence, Data Analysis"
AI Chatbots withoutProgramming,https://www.edx.org/learn/chatbots/ibm-ai-chatbots-without-programming,IBM,Computer Science,Introductory,None,English,English,Professional Certificate inFoundations of AIProfessional Certificate inApplied AI,"WordPress, Artificial Intelligence, Customer Service, Chatbot, Selling Techniques"
Financial Market Analysis,https://www.edx.org/learn/finance/the-international-monetary-fund-financial-market-analysis,The International Monetary Fund,Economics & Finance,Intermediate,Some basic knowledge of economics and macroeconomics in particular is recommended.,English,English,None,"Demonstration Skills, Financial Data Analysis, Financial Analysis, Stock Markets, Monetary Policies, Finance, Macroeconomics, Financial Market, Market Analysis, Securities (Finance)"
Introduction to FinTech,https://www.edx.org/learn/fintech/university-of-hong-kong-introduction-to-fintech,University of Hong Kong,Economics & Finance,Introductory,None,English,None,Professional CertificateinFinTech,"Artificial Intelligence, Blockchain, Finance, Infrastructure, Customer Data Management, Big Data, Swimming Pool Maintenance, Emerging Technologies, Financial Technology (FinTech)"
AP® English Literature &Composition – Part 1:Stories,https://www.edx.org/learn/literature/university-of-california-berkeley-ap-r-english-literature-composition-part-1-stories,"University of California, Berkeley",Humanities,Introductory,None,English,English,None,"Writing, Vocabulary, Creative Writing"
How to Use ChatGPT inEducation,https://www.edx.org/learn/computer-programming/edx-how-to-use-chatgpt-in-education,edX,Computer Science,Intermediate,Some knowledge of ChatGPT is needed.,English,None,None,None
Basic Spanish 2: One StepFurther,https://www.edx.org/learn/spanish/universitat-politecnica-de-valencia-basic-spanish-2-one-step-further,Universitat Politècnica de València,Language,Introductory,Basic Spanish knowledge or 30 hours of practice,English,None,Professional Certificate inBasic Spanish,"Spanish Language, Pronunciation, Communications, Grammar, Vocabulary"
Leading With EffectiveCommunication (InclusiveLeadership Training),https://www.edx.org/learn/leadership/catalyst-leading-with-effective-communication-inclusive-leadership-training,Catalyst,Communication,Introductory,None,English,English,Professional CertificateinInclusive Leadership,"Accountability, Communications, Empowerment, Humility, Leadership Development, Leadership"
Data Engineering Basicsfor Everyone,https://www.edx.org/learn/data-engineering/ibm-data-engineering-basics-for-everyone,IBM,Data Analysis & Statistics,Introductory,"Basic computer skills.General familiarity of how computing works.Grounding in IT systems.Comfortable working in either Linux, Unix, Windows, or MacOs.",English,English,Professional Certificate inData Engineering FundamentalsProfessional Certificate inData EngineeringProfessional Certificate inData Warehouse Engineering,"Data Lakes, Operations, Big Data, Business Intelligence, Data Warehousing, Relational Databases, Data Engineering, Data Integration, Data Analysis, IBM Cloud Computing, Reporting Tools, Decision Making, Data Store, Workflow Management"
Excel: gestión de datos,https://www.edx.org/learn/excel/universitat-politecnica-de-valencia-excel-gestion-de-datos,Universitat Politècnica de València,Computer Science,Intermediate,"Para seguir este curso debes haber completado anteriormente el cursoExcel: fundamentos y herramientas, también en edX o tener un nivel intermedio equivalente.",Español,Español,Professional Certificate inExcel para los negociosProfessional Certificate inExcel para los negocios nivel intermedio,"Spreadsheets, Decision Making, Microsoft Excel, Research, Data Management, Management, Business Intelligence"
Modern Masterpieces ofWorld Literature,https://www.edx.org/learn/literature/harvard-university-modern-masterpieces-of-world-literature,Harvard University,Literature,Introductory,None,English,English,None,None
UX Design,https://www.edx.org/learn/ux-design/hec-montreal-ux-design,HEC Montréal,Design,Intermediate,"None.But if you are engaged in the MicroMasters inUX Design and Evaluation, wevery strongly recommendthat do theIntroduction to UX(UXe01x.1) andUX Research(UXe01x.1) before doing this one.",English,English,MicroMasters®PrograminUX Design and Evaluation,"Problem Solving, User-Centered Design, Ideation, Creativity, Design Thinking, Innovation, Experience Design, User Experience Design (UX), User Interface Design, User Experience"
Causal Diagrams: DrawYour Assumptions BeforeYour Conclusions,https://www.edx.org/learn/data-analysis/harvard-university-causal-diagrams-draw-your-assumptions-before-your-conclusions,Harvard University,Data Analysis & Statistics,Introductory,None,English,English,None,"Directed Acyclic Graph (Directed Graphs), Research, Clinical Study Design, Data Analysis, Causal Inference, Statistical Methods"
Introducción a la inversiónbursátil,https://www.edx.org/learn/stocks/universitat-politecnica-de-valencia-introduccion-a-la-inversion-bursatil,Universitat Politècnica de València,Economics & Finance,Introductory,"No es necesario contar con conocimientos previos en finanzas, bolsa o economía en general.",Español,Español,None,"Investments, Stock Markets"
Astronomía Virtual,https://www.edx.org/learn/astronomy/universidad-nacional-de-cordoba-astronomia-virtual,Universidad Nacional de Córdoba,Science,Introductory,Ninguno.,Español,None,None,"Physics, Astronomy, Space Science, Solar Systems, Basic Math"
Exploring GraphQL: AQuery Language for APIs,https://www.edx.org/learn/graphql/the-linux-foundation-exploring-graphql-a-query-language-for-apis,The Linux Foundation,Computer Science,Introductory,"It is helpful to have some general knowledge about how websites get information from servers, but it is not required.Familiarity with web architecture, such as clients and serversFamiliarity with web development concepts such as caching, HTTP requests, build-time, etc.",English,English,None,"Query Languages, Application Programming Interface (API), GraphQL, Front End Design, Software Engineering"
DevOps Basics forEveryone,https://www.edx.org/learn/devops/ibm-devops-basics-for-everyone,IBM,Computer Science,Introductory,None,English,English,"Professional CertificateinDevOps, Cloud, and Agile FoundationsProfessional CertificateinDevOps and Software Engineering","DevOps, Continuous Delivery, Decision Making, Business Case, Continuous Integration, Infrastructure"
Excel for Everyone: DataManagement,https://www.edx.org/learn/excel/university-of-british-columbia-excel-for-everyone-data-management,University of British Columbia,Data Analysis & Statistics,Intermediate,None,English,English,Professional Certificate inExcel for Everyone,"Data Management, Management, Data Wrangling, Forecasting"
GIS Foundations,https://www.edx.org/learn/gis-geographic-information-systems/university-of-alaska-fairbanks-gis-foundations,University of Alaska Fairbanks,Engineering,Introductory,Windows OS is required to run ArcGIS Pro software.,English,None,Professional CertificateinGeographic Information Systems (GIS) Essentials,"Web Mapping, Spatial Data Infrastructures, Data Analysis, Geospatial Analysis, GIS Applications, Remote Sensing, Urban Planning, Complex Problem Solving, Cartography, GIS Certificate, Data Science, Geographic Information Systems, ArcGIS (GIS Software), Social Sciences, Health Information Technology, Problem Solving"
Introduction to PersonalFinancial Planning,https://www.edx.org/learn/personal-finance/indiana-university-introduction-to-personal-financial-planning,Indiana University,Economics & Finance,Introductory,Good reading comprehensionBasic arithmeticWillingness to learn,English,English,Professional CertificateinPersonal Finance,"Income Statement, Financial Literacy, Personal Finance, Financial Planning, Budgeting, Balance Sheet, Financial Services, Planning, Money Management"
AI Prompt Engineering forBeginners,https://www.edx.org/learn/artificial-intelligence/davidson-college-ai-prompt-engineering-for-beginners,Davidson College,Computer Science,Introductory,None,English,English,None,"Reference Cards, Curiosity, Artificial Intelligence"
Your Body Inside and Out:Using Exercise Physiologyto Slow Aging,https://www.edx.org/learn/physiology/stanford-university-your-body-inside-and-out-using-exercise-physiology-to-slow-aging,Stanford University,Biology & Life Sciences,Introductory,"An excitement for learning about the human body!The course aims to be accessible to everyone. However, it is still challenging. A background in basic human physiology will prepare you to get the most out of this experience. However, for those non-scientists in the bunch, don’t fret. We have added glossaries and additional resources that will help you get through the material.",English,English,None,"Cardiovascular Disease, Information Sciences, Aging Processes, Dementia, Exercise Physiology, Optometry, Physiology, Diabetes Mellitus, Lecturing, Human Musculoskeletal Systems"
Successful Negotiation:Essential Strategies andSkills,https://www.edx.org/learn/negotiations/the-university-of-michigan-successful-negotiation-essential-strategies-and-skills,The University of Michigan,Business & Management,Introductory,None,English,English,None,"Negotiation Strategies, Planning, Planning Tools, Negotiation"
Shakespeare's Life andWork,https://www.edx.org/learn/shakespeare/harvard-university-shakespeare-s-life-and-work,Harvard University,Humanities,Introductory,None,English,English,"XSeries inShakespeare's Life, Work, and Characters",Literary Studies
"Fundamentals ofNeuroscience, Part 2:Neurons and Networks",https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-2-neurons-and-networks,Harvard University,Biology & Life Sciences,Introductory,None.,English,English,XSeriesinFundamentals of Neuroscience,"Documentary Films, Complex Networks, Electronic Circuits, Animations"
Empathy and EmotionalIntelligence at Work,https://www.edx.org/learn/business-administration/university-of-california-berkeley-empathy-and-emotional-intelligence-at-work,"University of California, Berkeley",Business & Management,Introductory,Recommended but not required:GG101x: The Science of HappinessGG201x: Foundations of Happiness at Work,English,English,Professional CertificateinThe Science of Happiness at Work,"Leadership, Empathy, Emotional Intelligence, Social Intelligence, Problem Solving, Compassion, Teamwork, Psychology, Innovation"
Ancient Masterpieces ofWorld Literature,https://www.edx.org/learn/literature/harvard-university-ancient-masterpieces-of-world-literature,Harvard University,Literature,Introductory,None,English,English,None,"Collections, Writing"
Upper-IntermediateEnglish: Business andIndustry,https://www.edx.org/learn/english/universitat-politecnica-de-valencia-upper-intermediate-english-business-and-industry,Universitat Politècnica de València,Language,Intermediate,Lower Intermediate or Intermediate level of English,English,English,Professional Certificate inUpper-Intermediate English,"Reading Comprehension, Radio Broadcasting, Industrial Design, Listening Skills, Vocabulary, English Language, Grammar"
"Women Making History:Ten Objects, Many Stories",https://www.edx.org/learn/history/harvard-university-women-making-history-ten-objects-many-stories,Harvard University,History,Introductory,None,English,English,None,"Library, Innovation, Archives"
Drug Discovery &Medicinal Chemistry,https://www.edx.org/learn/drugs/davidson-college-drug-discovery-medicinal-chemistry,Davidson College,Medicine,Intermediate,Students planning to complete the course should have the prerequisites listed below.high school algebra - logarithmic and exponential functionshigh school biology - general anatomy and basic cell structurehigh school general chemistry - equilibrium and intermolecular forcesintroductory organic chemistry - functional group recognition and line-angle structuresStudents who do not have these prerequisites will understand much of the course content but may have difficulty earning a passing grade.,English,English,None,"Medicinal Chemistry, Drug Development, Chemistry, Drug Discovery, Pharmaceuticals, Biology"
Learn Like a Pro:Science-Based Tools toBecome Better at Anything,https://www.edx.org/learn/how-to-learn/barbara-oakley-olav-schewe-learn-like-a-pro-science-based-tools-to-become-better-at-anything,Barbara Oakley & Olav Schewe,Education & Teacher Training,Introductory,None,English,English,None,"Optometry, Research, Teaching, Speed Reading"
¿Cómo hacer usoresponsable de lainteligencia artificial?,https://www.edx.org/learn/artificial-intelligence/inter-american-development-bank-como-hacer-uso-responsable-de-la-inteligencia-artificial,Inter-American Development Bank,Ethics,Intermediate,"El curso está dirigido a funcionarios públicos, sector privado, técnicos, investigadores, docentes, estudiantes y todas aquellas personas vinculadas con los procesos de conceptualización, diseño e implementación de un sistema de inteligencia artificial para la toma de decisiones en el sector público.",Español,Español,None,"Implement Projects, Logos, Artificial Intelligence, Public Policies, Decision Making, Content Creation, Social Networks"
"Macroeconomics ofClimate Change: Science,Economics, and Policies",https://www.edx.org/learn/climate-change/the-international-monetary-fund-macroeconomics-of-climate-change-science-economics-and-policies,The International Monetary Fund,Economics & Finance,Introductory,None,English,English,None,"Research, Economics, Capacity Development, Climate Variability And Change, Macroeconomics"
Deep Learning with Pythonand PyTorch,https://www.edx.org/learn/deep-learning/ibm-deep-learning-with-python-and-pytorch,IBM,Data Analysis & Statistics,Intermediate,Python & Jupyter notebooksMachine Learning conceptsDeep Learning conceptshttps://www.edx.org/course/pytorch-basics-for-machine-learning,English,English,Professional CertificateinDeep Learning,"Principal Component Analysis, Autoencoders, Artificial Neural Networks, Machine Learning, Transfer Learning, PyTorch (Machine Learning Library), Deep Learning, Feed Forward, Convolutional Neural Networks, Python (Programming Language), Dimensionality Reduction"
Public Speaking,https://www.edx.org/learn/public-speaking/rochester-institute-of-technology-public-speaking,Rochester Institute of Technology,Communication,Introductory,None,English,English,Professional Certificate inCommunication Skills,"Communications, Public Speaking"
Climate Change: TheScience and Global Impact,https://www.edx.org/learn/climate-change/sdg-academy-climate-change-the-science-and-global-impact,SDG Academy,Energy & Earth Sciences,Intermediate,None,English,English,None,"Atmospheric Sciences, Climate Variability And Change, Infrastructure, Greenhouse Gas, Climatology, Systems Thinking, Climate Modeling"
Procurement and LogisticsManagement,https://www.edx.org/learn/procurement/international-supply-chain-education-alliance-procurement-and-logistics-management,International Supply Chain Educat…,Business & Management,Introductory,None enforced,English,English,Professional CertificateinCertified Supply Chain Analyst (CSCA),"Contract Management, Procurement, Supply Chain Analysis, Purchasing, Management, Order Management Systems, Supply Chain, Sourcing, Warehousing, Planning, Order Management, Logistics Management"
Introduction to QuantumComputing for Everyone,https://www.edx.org/learn/quantum-computing/university-of-chicago-introduction-to-quantum-computing-for-everyone,University of Chicago,Computer Science,Introductory,Algebra I,English,English,Professional Certificate inQuantum Computing for Everyone,"Linear Algebra, Quantum Computing, Quantum Physics, Elementary Algebra"
Introduction to Blockchainand Web3,https://www.edx.org/learn/blockchain/web3-foundation-introduction-to-blockchain-and-web3,Web3 Foundation,Computer Science,Introductory,None,English,English,None,"Cryptography, Nodes (Networking), Bitcoin, Ethereum, Blockchain"
R Programming Basics forData Science,https://www.edx.org/learn/r-programming/ibm-r-programming-basics-for-data-science,IBM,Data Analysis & Statistics,Introductory,None,English,English,Professional Certificate inData Analytics and Visualization with Excel and RProfessional Certificate inApplied Data Science with R,"R (Programming Language), Watson Studio, Data Analysis, Data Structures, RStudio, Data Science, Jupyter"
Measuring SustainableDevelopment,https://www.edx.org/learn/sustainable-development/sdg-academy-measuring-sustainable-development,SDG Academy,Data Analysis & Statistics,Intermediate,None,English,English,Professional CertificateinMaster’s Pathway in Foundations of Sustainable Development,"Sustainable Development, Dashboard, Data-Driven Decision-Making"
Design Thinking andCreativity for Innovation,https://www.edx.org/learn/design-thinking/the-university-of-queensland-design-thinking-and-creativity-for-innovation,The University of Queensland,Business & Management,Intermediate,English writing/reading proficiency (required)General knowledge of business processes (recommended),English,English,MicroMasters®Program inCorporate Innovation,"Design Thinking, Problem Solving, Innovation, Creative Problem-Solving, Creativity"
Climate Change: CarbonCapture and Storage,https://www.edx.org/learn/climate-change/the-university-of-edinburgh-climate-change-carbon-capture-and-storage,The University of Edinburgh,Engineering,Introductory,None,English,English,None,"Carbon Capture And Storage, Economics, Engineering Geology, Climate Change Mitigation, Greenhouse Gas"
Hinduism Through ItsScriptures,https://www.edx.org/learn/hinduism/harvard-university-hinduism-through-its-scriptures,Harvard University,Humanities,Introductory,None,English,English,XSeries inWorld Religions Through Their Scriptures,None
Brand Management,https://www.edx.org/learn/branding/indian-institute-of-management-bangalore-brand-management,Indian Institute of Management B…,Business & Management,Introductory,None,English,English,Professional Certificate inBrand and Marketing Research Strategy,"Brand Management, Brand Communication, Brand Identity, Brand Positioning"
Free Cash Flow Analysis,https://www.edx.org/learn/cash-flow-analysis/columbia-university-free-cash-flow-analysis,Columbia University,Business & Management,Introductory,Students must be familiar with basic concepts of Accounting; basic skills in Microsoft Excel (or equivalent); Students should have completed Introduction to Corporate Finance.,English,English,Professional Certificate inCorporate Finance,"Valuation Using Multiples, Corporate Finance, Cash Flow Analysis"
Supply Chain Planning andStrategy,https://www.edx.org/learn/supply-chain-management/international-supply-chain-education-alliance-supply-chain-planning-and-strategy,International Supply Chain Educat…,Business & Management,Introductory,None enforced,English,English,Professional Certificate inCertified Supply Chain Analyst (CSCA),"Strategic Decision-Making, Supply Chain Strategy, Demand Management, Supply Chain Planning, Supply Chain Analysis, Sales Inventory And Operations Planning, Management, Strategic Management, Supply Chain, Planning, Supply Chain Management, Forecasting"
Comunicación yRedacción Digital,https://www.edx.org/learn/business-communications/universidades-anahuac-comunicacion-y-redaccion-digital,Universidades Anáhuac,Communication,Introductory,None,Español,Español,None,"Digital Communications, Multimedia"
EntrepreneurshipAdventures - مغامرات ريادةالأعمال,https://www.edx.org/learn/entrepreneurship/king-abdullah-university-of-science-and-technology-entrepreneurship-adventures-mgmrt-ryd-l-ml,King Abdullah University of Scien…,Business & Management,Introductory,"هل تتطلب الدورة مهارات أو خبرات أو خلفية سابقة في مجال العمل للانضمام؟عالم ريادة الأعمال مفتوح للجميع بما في ذلك دورة مغامرات ريادة الأعمال. نشجّع جميع الراغبين والمهتمين من جميع الخلفيات ومستويات الخبرة، على التسجيل، ومن بينهم المبتدئين. ابدأ رحلتك الريادية الآن مهما كانت خلفيتك!من هم الأشخاص ""المناسبين"" للانضمام إلى دورة مغامرات ريادية الأعمال؟كل من يرغب في استكشاف عالم ريادة الأعمال وخفاياه وتطوير فكره الريادي والتعامل مع المستقبل والتقنيةكل من يرغب في خوض مغامرة جديدة وتجربة فريدة من نوعهاكل من يفكر في أفكار مشاريع ناشئة ولم يبدأ في مشواره الريادي بعدكل من يفكر في الانتقال من وظيفة تقليدية لمشروع ريادي مثير أو إيجاد طريقة مبتكرة للتعامل مع المشاكل الحالية.أي شخص لديه الشغف لإحداث تأثير في العالم مهما كان كبيرًا أو صغير.دورة مغامرات ريادة الأعمال مصممة لكل المهتمين بريادة الأعمال مهما اختلفت مهاراتهم وخلفياتهم التعليمية وخبراتهم المهنية.",اَلْعَرَبِيَّةُ,اَلْعَرَبِيَّةُ,None,Dynamic Content
Agile and ScrumFundamentals,https://www.edx.org/learn/agile/ibm-agile-and-scrum-fundamentals,IBM,Computer Science,Introductory,None,English,English,"Professional Certificate inDevOps, Cloud, and Agile FoundationsProfessional Certificate inDevOps and Software Engineering","Lean Manufacturing, Kanban Principles, Agile Methodology, Iterative And Incremental Development, Scrum (Software Development), Software Development, Planning, Continuous Improvement Process, User Story, Refining, Test-Driven Development (TDD), Github"
Introduction to DevOpsand Site ReliabilityEngineering,https://www.edx.org/learn/devops/the-linux-foundation-introduction-to-devops-and-site-reliability-engineering,The Linux Foundation,Computer Science,Introductory,"Intermediate understanding of Linux systemsKnowledge of networking concepts, utilities and troubleshootingBasic scripting knowledgeComputer and network security conceptsVirtualization conceptsSystems administration and troubleshooting skills",English,English,Professional Certificate inIntroduction to DevOps: Practices and Tools,"Automation, Operations, Site Reliability Engineering, Linux, Agile Methodology, Software Development, DevOps"
AWS Cloud TechnicalEssentials,https://www.edx.org/learn/amazon-web-services-aws/amazon-web-services-aws-cloud-technical-essentials,Amazon Web Services,Computer Science,Introductory,There are no prerequisites for this course.,English,English,Professional Certificate inCloud Solutions ArchitectureProfessional Certificate inAWS Learning Series: Developer JumpstartXSeries inDevOps on AWS,"Amazon Web Services, Operations, Business Requirements, Database Storage Structures, Cloud Development, Scalability, Fault Tolerance, Cloud Computing"
Essential Career Skills forInvestment Banking andFinance,https://www.edx.org/learn/investment-banking/new-york-institute-of-finance-essential-career-skills-for-investment-banking-and-finance,New York Institute of Finance,Business & Management,Introductory,None,English,English,Professional Certificate inIntroduction to Investment Banking,"Financial Literacy, Finance, Financial Services, Investment Banking, Basic Math, Business Economics"
Precalculus,https://www.edx.org/learn/math/arizona-state-university-precalculus,Arizona State University,Math,Intermediate,MAT117 College Algebra & Problem Solving,English,English,None,"Assessment And Learning In Knowledge Spaces (ALEKS), Calculus, Basic Math, Precalculus"
Project Management forDevelopment,https://www.edx.org/learn/project-management/inter-american-development-bank-project-management-for-development,Inter-American Development Bank,Business & Management,Intermediate,None,English,None,Professional Certificate inResults-Based Project Management,"Social Development, Project Management Institute (PMI) Methodology, Management"
Biomedical Equipment:Repairing and MaintainingBiomedical Devices,https://www.edx.org/learn/biomedical-engineering/delft-university-of-technology-biomedical-equipment-repairing-and-maintaining-biomedical-devices,Delft University of Technology,Engineering,Introductory,Basic undergraduate-level knowledge about electromagnetic circuits.Basic higher secondary school understanding of physics and math.,English,None,"Professional Certificate inBiomedical Equipment: Repair, Maintenance and Healthcare Technology Management","Medical Devices, Blueprinting, Process Flow Diagrams, Biology, Interdisciplinary Collaboration, Troubleshooting (Problem Solving)"
Introducción a laIngeniería del Software,https://www.edx.org/learn/software-engineering/universidad-autonoma-de-madrid-introduccion-a-la-ingenieria-del-software,Universidad Autónoma de Madrid,Computer Science,Introductory,Ninguno.,Español,Español,Professional CertificateinDesarrollo y gestión de proyectos informáticos,"Software Engineering, Management, Agile Methodology, Planning, Scrum (Software Development), Software Development, Software Project Management"
Nutrition and Health:Human Microbiome,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-human-microbiome,Wageningen University & Research,Health & Safety,Introductory,The prerequisites are basic biology.,English,English,None,"Microbiology, Diabetes Mellitus, Cell Biology, Viruses, Irritable Bowel Syndrome, Balancing (Ledger/Billing), Written Composition, Allergology"
"Product Design,Prototyping, and Testing",https://www.edx.org/learn/product-design/the-university-of-maryland-college-park-product-design-prototyping-and-testing,"The University of Maryland, CollegePark…",Business & Management,Introductory,None required. “Product Management Fundamentals” and “Achieving Product-Market Fit” recommended.,English,None,Professional Certificate inProduct Management,"Function Model, Industrial Design, Product Design, Concept Testing, Product Management, New Product Development, User Experience, Mass Customization, Persona (User Experience), Modular Design, Prototyping, Scrum (Software Development), Manufacturing Processes, Wireframing, Concurrent Engineering, Design Thinking, Engineering Design Process, Planning"
Mathematics 1 Part 1:Differential Calculus,https://www.edx.org/learn/math/the-london-school-of-economics-and-political-science-mathematics-1-part-1-differential-calculus,The London School of Economics…,Math,Intermediate,"Secondary school (high school) algebra; basic knowledge of mathematical concepts. It is strongly reccommeded to study the LSE mathematics courses in order (progressing to Mathematics 1, Part 2) given the cumulative nature of the subject matter.",English,English,MicroBachelors Program inMathematics and Statistics Fundamentals,"Differential Calculus, Statistics, Management, Sketching, Economics, Basic Math"
Soft Skills: CollaborateEffectively,https://www.edx.org/learn/business-communications/ibm-people-skills-collaborate-effectively,IBM,Communication,Introductory,This course does not require any previous work experience and is great for if you are just beginning your career or if you are looking for a skill refresher.,English,English,Professional Certificate inPeople and Power Skills,None
Deploying TinyML,https://www.edx.org/learn/tinyml/harvard-university-deploying-tinyml,Harvard University,Data Analysis & Statistics,Intermediate,Applications of TinyMLBasic Programming in C/C++TinyML Course Kit,English,English,Professional CertificateinTiny Machine Learning (TinyML)Professional CertificateinApplied Tiny Machine Learning (TinyML) for Scale,"TensorFlow, Machine Learning, Audio Signal Processing, Computer Vision, Electrical Engineering, Computer Science, Speech Recognition, Deep Learning, Embedded Systems, ARM Architecture"
European Paintings: FromLeonardo to Rembrandt toGoya,https://www.edx.org/learn/art/universidad-carlos-iii-de-madrid-european-paintings-from-leonardo-to-rembrandt-to-goya,Universidad Carlos III de Madrid,Humanities,Introductory,None.,English,English,None,Painting
MacroeconometricForecasting,https://www.edx.org/learn/macroeconometric-forecasting/the-international-monetary-fund-macroeconometric-forecasting,The International Monetary Fund,Economics & Finance,Intermediate,A background in statistics and economics at the undergraduate level is assumed.,English,English,None,"Statistical Modeling, Policy Analysis, Demonstration Skills, Economics, Forecasting, Macroeconomics"
Introducción a laprogramación en Java:empezando a programar,https://www.edx.org/learn/java/universidad-carlos-iii-de-madrid-introduccion-a-la-programacion-en-java-empezando-a-programar,Universidad Carlos III de Madrid,Computer Science,Introductory,Ninguno,Español,Español,Professional Certificate inIntroducción a la programación en Java,"Java (Programming Language), Computational Thinking, Data Structures, Object-Oriented Programming (OOP), Smartphone Operation, Algorithms, Sorting Algorithm, Software Engineering, Application Programming Interface (API)"
Hardware and OperatingSystems,https://www.edx.org/learn/operating-systems/ibm-hardware-and-operating-systems,IBM,Computer Science,Introductory,Basic computer literacy.,English,English,Professional CertificateinInformation Technology (IT) Support PC,"Peripheral Devices, Screen Capture, Technical Support, Hard Disk Drives, Troubleshooting (Problem Solving), Customer Service, Expansion Cards, Operating Systems, Computer Hardware, Information Technology, Motherboard, Help Desk Support"
Introduction to MachineLearning and AI,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-machine-learning-and-ai,Raspberry Pi Foundation,Education & Teacher Training,Introductory,You should already have an understanding of what a computer algorithm is. Some of the practical tasks also require familiarity with theScratch programming language.,English,English,None,None
Visualizing Data withPython,https://www.edx.org/learn/data-visualization/ibm-visualizing-data-with-python,IBM,Data Analysis & Statistics,Intermediate,Python Basics for Data ScienceAnalyzing Data with Python,English,None,Professional CertificateinPython Data ScienceProfessional CertificateinIBM Data ScienceProfessional CertificateinData Analyst,"Data Science, Graphic Communication, Data Visualization, Watson Studio, Python (Programming Language)"
