title,link,duration,instructor,students
Poetry for Beginners: Write Poems That Have An Impact,https://www.skillshare.com/en/classes/Poetry-for-Beginners-Write-Poems-That-Have-An-Impact/1675211432,30m,Tasmin Hansmann,"2,820 students"
10 Steps to Boosting Your Artwork to the Next Level,https://www.skillshare.com/en/classes/10-Steps-to-Boosting-Your-Artwork-to-the-Next-Level/1843576893,49m,Brad Woodard,"2,331 students"
Introduction to 3D composition art with Cinema 4D,https://www.skillshare.com/en/classes/Introduction-to-3D-composition-art-with-Cinema-4D/1358785811,1h 28m,Paul Olusola,782 students
Unreal Engine 5 (UE5): Blueprints for Beginners,https://www.skillshare.com/en/classes/Unreal-Engine-5-UE5-Blueprints-for-Beginners/1943932446,6h 51m,Pixel Helmet,"1,407 students"
Fearless Oil Painting: An Intuitive Approach to Color and Depth,https://www.skillshare.com/en/classes/Fearless-Oil-Painting-An-Intuitive-Approach-to-Color-and-Depth/351977161,36m,Amy Plante,"2,104 students"
How To Increase Your Social Media Success,https://www.skillshare.com/en/classes/How-To-Increase-Your-Social-Media-Success/935218968,59m,Everett Bowes,"1,454 students"
Knitting 101: The Basics for Beginners,https://www.skillshare.com/en/classes/Knitting-101-The-Basics-for-Beginners/131217138,36m,Melissa Warren,"2,675 students"
Design for the Job You Want: Personal Projects to Build Your Portfolio,https://www.skillshare.com/en/classes/Design-for-the-Job-You-Want-Personal-Projects-to-Build-Your-Portfolio/766351115,2h 1m,Alison Koehler,"4,791 students"
Watercolour Christmas Patterns: Master Your Brush Control,https://www.skillshare.com/en/classes/Watercolour-Christmas-Patterns-Master-Your-Brush-Control/729504271,3h 45m,Sharone Stevens,"1,594 students"
Instagram Carousels: Grow Your Following With Magnetic Content,https://www.skillshare.com/en/classes/Instagram-Carousels-Grow-Your-Following-With-Magnetic-Content/509753423,3h 58m,Jeremy Mura,"2,796 students"
Freelance Illustration Process in Procreate: Following a Client Brief,https://www.skillshare.com/en/classes/Freelance-Illustration-Process-in-Procreate-Following-a-Client-Brief/733478082,1h 21m,Iva Mikles,"2,716 students"
Sheep called Lambo. A Free-Flow Watercolour Masterclass with Jane Davies,https://www.skillshare.com/en/classes/Sheep-called-Lambo-A-Free-Flow-Watercolour-Masterclass-with-Jane-Davies/1349264202,1h 1m,Jane Davies,845 students
How to Draw 101 Ep. 1 - Basic Drawing Skills & Sketching Exercises With Pencil For Beginners,https://www.skillshare.com/en/classes/How-to-Draw-101-Ep-1-Basic-Drawing-Skills-Sketching-Exercises-With-Pencil-For-Beginners/1258597632,3h 28m,Tamas Benko,"1,842 students"
Drawing Sea Monsters: Exploring Creature Design,https://www.skillshare.com/en/classes/Drawing-Sea-Monsters-Exploring-Creature-Design/1770037635,38m,Ira Marcks,"2,128 students"
Easy Gardening With Raised Beds,https://www.skillshare.com/en/classes/Easy-Gardening-With-Raised-Beds/1020223962,30m,Sunny Green,"3,817 students"
Get Inked! Create a Custom Manufactured Rubber Stamp,https://www.skillshare.com/en/classes/Get-Inked-Create-a-Custom-Manufactured-Rubber-Stamp/94850115,24m,Teela Cunningham,"5,144 students"
painting watercolor resist crystals,https://www.skillshare.com/en/classes/painting-watercolor-resist-crystals/732749904,1h 27m,Erin Kate Archer,"2,423 students"
How To Paint Birds - Learn Drawing & Painting Birds in Watercolor,https://www.skillshare.com/en/classes/How-To-Paint-Birds-Learn-Drawing-Painting-Birds-in-Watercolor/202957161,2h 35m,Julia Bausenhardt,"2,381 students"
Watercolor Fruits and Florals Wreaths for Beginners,https://www.skillshare.com/en/classes/Watercolor-Fruits-and-Florals-Wreaths-for-Beginners/815561246,4h 12m,Joly Poa,"1,385 students"
How To Draw Cute Chibi Characters,https://www.skillshare.com/en/classes/How-To-Draw-Cute-Chibi-Characters/1067718241,1h 20m,Patricia Caldeira,"2,590 students"
Live Encore: Time-Saving Social Media Tips for Creatives,https://www.skillshare.com/en/classes/Live-Encore-Time-Saving-Social-Media-Tips-for-Creatives/1846193576,1h 2m,Sonja Rasula,"1,188 students"
Speed Reading Mastery: Double Your Reading Speed In 7 Days,https://www.skillshare.com/en/classes/Speed-Reading-Mastery-Double-Your-Reading-Speed-In-7-Days/1488233306,4h 6m,Jordan Harry,"6,174 students"
Paint a Stunning Abstract!,https://www.skillshare.com/en/classes/Paint-a-Stunning-Abstract/237054411,2h 8m,Suzanne Allard,802 students
Digital Marketing: Copywriting & Blogging,https://www.skillshare.com/en/classes/Digital-Marketing-Copywriting-Blogging/1653982582,39m,Phil Ebiner,"3,190 students"
"""Now What"" Series: I've Created a Pattern, Now What?",https://www.skillshare.com/en/classes/Now-What-Series-Ive-Created-a-Pattern-Now-What/2089374107,57m,Samantha Wilson,"1,679 students"
Watercolor Autumn Illustrations,https://www.skillshare.com/en/classes/Watercolor-Autumn-Illustrations/604237378,48m,Olga Bonitas,"3,628 students"
Retro Futuristic Style Portrait in Photoshop,https://www.skillshare.com/en/classes/Retro-Futuristic-Style-Portrait-in-Photoshop/1038212182,1h 20m,Klarens Malluta,"2,113 students"
Silver Stacking Rings: Making Beautiful Rings From Silver Wire,https://www.skillshare.com/en/classes/Silver-Stacking-Rings-Making-Beautiful-Rings-From-Silver-Wire/2136340678,46m,Joanne Tinley,"2,532 students"
Make Your Own Furniture,https://www.skillshare.com/en/classes/Make-Your-Own-Furniture/1025079313,21m,Oivind Lie-Jacobsen,"4,446 students"
3 Minute French - Course 6 | Language lessons for beginners,https://www.skillshare.com/en/classes/3-Minute-French-Course-6-Language-lessons-for-beginners/435594987,6h 14m,Kieran Ball,401 students
Introduction to Affinity Designer for iPad Version 2,https://www.skillshare.com/en/classes/Introduction-to-Affinity-Designer-for-iPad-Version-2/308591591,1h 23m,Tracey Capone,"1,079 students"
Art Sales on Autopilot: Learn How to Start an Online Biz Selling Prints w/ Help From a Print Partner,https://www.skillshare.com/en/classes/Art-Sales-on-Autopilot-Learn-How-to-Start-an-Online-Biz-Selling-Prints-w-Help-From-a-Print-Partner/1892581717,49m,Jules Tillman,"2,544 students"
Art Journal Part 1: Unlock your Creative Intuition,https://www.skillshare.com/en/classes/Art-Journal-Part-1-Unlock-your-Creative-Intuition/874744726,1h 6m,Christen McGee,"4,791 students"
How to create a website without writing code,https://www.skillshare.com/en/classes/How-to-create-a-website-without-writing-code/1102284045,5h 4m,Jake Jorgovan,"5,394 students"
Wolf. A Free-Flow Watercolour Masterclass with Jane Davies,https://www.skillshare.com/en/classes/Wolf-A-Free-Flow-Watercolour-Masterclass-with-Jane-Davies/1458024972,1h 33m,Jane Davies,717 students
"Procreate & Chill: Unwind with Easy, Digital Illustrations for Self-Care",https://www.skillshare.com/en/classes/Procreate-Chill-Unwind-with-Easy-Digital-Illustrations-for-Self-Care/467106356,42m,Adam Palmeter,"2,707 students"
Portrait Painting Basics: Portrait Sketching in Oils,https://www.skillshare.com/en/classes/Portrait-Painting-Basics-Portrait-Sketching-in-Oils/706729339,2h 0m,Mark Hill,"1,662 students"
Levitation Photography: Exploring Magic and Portraiture,https://www.skillshare.com/en/classes/Levitation-Photography-Exploring-Magic-and-Portraiture/1798623770,1h 1m,Ian Norman,"2,990 students"
DSLR Photography Basics - From Auto to Manual,https://www.skillshare.com/en/classes/DSLR-Photography-Basics-From-Auto-to-Manual/1036620892,1h 3m,Evangelos Anagnostou,"2,048 students"
Affinity Photo for Beginners | Updated for Version 2,https://www.skillshare.com/en/classes/Affinity-Photo-for-Beginners-Updated-for-Version-2/1347720251,6h 46m,Affinity Revolution,693 students
"No Perspective Still-Lifes: Playing With Line, Color & Composition",https://www.skillshare.com/en/classes/No-Perspective-Still-Lifes-Playing-With-Line-Color-Composition/2026281794,1h 42m,Claudia Melchor del Rio,954 students
Urban Watercolor Sketching on your iPad + FREE Digital Watercolor Brushes,https://www.skillshare.com/en/classes/Urban-Watercolor-Sketching-on-your-iPad-FREE-Digital-Watercolor-Brushes/1714301219,44m,Liz Kohler Brown,"2,264 students"
Branding Workshop - A Case Study,https://www.skillshare.com/en/classes/Branding-Workshop-A-Case-Study/610837177,1h 13m,Shelley Seguinot,"2,496 students"
Winter Penguins. A Free-Flow Watercolour Masterclass with Jane Davies,https://www.skillshare.com/en/classes/Winter-Penguins-A-Free-Flow-Watercolour-Masterclass-with-Jane-Davies/66153191,1h 21m,Jane Davies,898 students
Urban Sketching: Learn to Use Continuous Line Drawing and Watercolors,https://www.skillshare.com/en/classes/Urban-Sketching-Learn-to-Use-Continuous-Line-Drawing-and-Watercolors/1089612839,1h 11m,Toby Haseler,"1,165 students"
3D Lettering in Procreate,https://www.skillshare.com/en/classes/3D-Lettering-in-Procreate/506241309,30m,Lisa Long,"1,834 students"
Fabrics for Fashion Design: Essential Learning for Designers ~ Fabrics Inspiration for a Collection,https://www.skillshare.com/en/classes/Fabrics-for-Fashion-Design-Essential-Learning-for-Designers-Fabrics-Inspiration-for-a-Collection/543143069,1h 7m,Nino Via,"1,085 students"
24 Quick & Easy Winter Christmas Themed Paintings with Watercolours,https://www.skillshare.com/en/classes/24-Quick-Easy-Winter-Christmas-Themed-Paintings-with-Watercolours/1597302431,10h 38m,Geethu Chandramohan,"1,374 students"
Learn Indie Filmmaking By Making a Short Film,https://www.skillshare.com/en/classes/Learn-Indie-Filmmaking-By-Making-a-Short-Film/292988947,3h 12m,Olaf De Fleur,"9,898 students"
How To Self-Publish A Low Or No Content Book On Amazon KDP For Beginners,https://www.skillshare.com/en/classes/How-To-Self-Publish-A-Low-Or-No-Content-Book-On-Amazon-KDP-For-Beginners/666038900,1h 24m,Katia Galante,"3,071 students"
"Draw & Paint CLOUDS | In-depth Explanation with Watercolor, Gouache, Digital paint demos",https://www.skillshare.com/en/classes/Draw-Paint-CLOUDS-In-depth-Explanation-with-Watercolor-Gouache-Digital-paint-demos/673091955,57m,Sarah Burns,"1,788 students"
Amazing & Fast Vector Illustrations with Adobe Illustrator,https://www.skillshare.com/en/classes/Amazing-Fast-Vector-Illustrations-with-Adobe-Illustrator/1825752727,51m,Carminys Guzmán,"2,948 students"
How to Draw Chibis: Digital Drawing Process from Start to Finish,https://www.skillshare.com/en/classes/How-to-Draw-Chibis-Digital-Drawing-Process-from-Start-to-Finish/186366994,27m,Emily Weiland,"3,447 students"
Decision Making Mastery: Transform Your Life and Career with Better Choices,https://www.skillshare.com/en/classes/Decision-Making-Mastery-Transform-Your-Life-and-Career-with-Better-Choices/65114706,1h 7m,Jill McAbe,"1,461 students"
Travel Journaling: Capture Memories On the Go,https://www.skillshare.com/en/classes/Travel-Journaling-Capture-Memories-On-the-Go/1867610631,45m,Peggy Dean,"1,767 students"
The Play-Doh Technique: Fun Hand-made Vectors In Illustrator,https://www.skillshare.com/en/classes/The-Play-Doh-Technique-Fun-Hand-made-Vectors-In-Illustrator/881059983,35m,Rich Armstrong,"4,185 students"
Live Encore: Using Art to Learn About Yourself,https://www.skillshare.com/en/classes/Live-Encore-Using-Art-to-Learn-About-Yourself/1847627770,40m,Marie-Noëlle Wurm,"1,729 students"
WATERCOLOR LANDSCAPE - BACKLIT SNOWY PINE TREES,https://www.skillshare.com/en/classes/WATERCOLOR-LANDSCAPE-BACKLIT-SNOWY-PINE-TREES/2066759852,1h 3m,Trupti Karjinni,"1,451 students"
Bringing Your Webcomic to Life: Create an Animated Comic!,https://www.skillshare.com/en/classes/Bringing-Your-Webcomic-to-Life-Create-an-Animated-Comic/160113931,13m,Sarah Andersen,"5,530 students"
Watercolor Galaxies - Learn to paint 5 beautiful night skies,https://www.skillshare.com/en/classes/Watercolor-Galaxies-Learn-to-paint-5-beautiful-night-skies/1286853208,1h 16m,Zaneena Nabeel,"1,795 students"
How to Take Beautiful Self Portraits for Blogging & Instagram: Self Portraiture Photography,https://www.skillshare.com/en/classes/How-to-Take-Beautiful-Self-Portraits-for-Blogging-Instagram-Self-Portraiture-Photography/2025348149,29m,Claire Petersen,"3,357 students"
Revolutionize Your Reading: Critical Reading for Personal Transformation,https://www.skillshare.com/en/classes/Revolutionize-Your-Reading-Critical-Reading-for-Personal-Transformation/2008241140,47m,Charlie Strong,"1,520 students"
Drawing Backgrounds and Perspective,https://www.skillshare.com/en/classes/Drawing-Backgrounds-and-Perspective/883783103,6h 16m,Ed Foychuk,"2,171 students"
Building Kids Confidence Through Drawing: 12 Art Projects for Children and Beginners,https://www.skillshare.com/en/classes/Building-Kids-Confidence-Through-Drawing-12-Art-Projects-for-Children-and-Beginners/151925705,2h 1m,Em Winn,"3,099 students"
Luminous Watercolor Florals - Cherry Blossoms for Beginners,https://www.skillshare.com/en/classes/Luminous-Watercolor-Florals-Cherry-Blossoms-for-Beginners/2047509284,50m,Trupti Karjinni,"1,592 students"
Professional Portfolio Presentation,https://www.skillshare.com/en/classes/Professional-Portfolio-Presentation/505066880,46m,Shelley Seguinot,"3,413 students"
Live Encore: Drawing Clothes for Comic Characters,https://www.skillshare.com/en/classes/Live-Encore-Drawing-Clothes-for-Comic-Characters/714893426,54m,Gabriel Picolo,"2,720 students"
Creative Writing Project: Write Great Dialogue,https://www.skillshare.com/en/classes/Creative-Writing-Project-Write-Great-Dialogue/228894490,13m,Dani and Steve Alcorn,"3,238 students"
From Sketch to Vector: Create Unique Handmade Textures for Adobe Illustrator,https://www.skillshare.com/en/classes/From-Sketch-to-Vector-Create-Unique-Handmade-Textures-for-Adobe-Illustrator/886205832,31m,Di Ujdi,"2,989 students"
✅ Scale Your Business with Facebook Ads. Learnings from spending $150 Million.,https://www.skillshare.com/en/classes/%E2%9C%85-Scale-Your-Business-with-Facebook-Ads-Learnings-from-spending-150-Million/127067377,1h 39m,Jack Paxton,"8,096 students"
How to Improve Your Creature Design Drawings - Step by Step,https://www.skillshare.com/en/classes/How-to-Improve-Your-Creature-Design-Drawings-Step-by-Step/2047470869,2h 8m,Robert Marzullo,"3,632 students"
Create a Christmas Mini Pattern Collection in Procreate + Sell on Print on Demand,https://www.skillshare.com/en/classes/Create-a-Christmas-Mini-Pattern-Collection-in-Procreate-Sell-on-Print-on-Demand/295317884,3h 12m,Maja Faber,798 students
Acrylic Pour Painting with a Mini Kitchen Strainer /Black & White Granite,https://www.skillshare.com/en/classes/Acrylic-Pour-Painting-with-a-Mini-Kitchen-Strainer-Black-White-Granite/160436081,23m,Elisa Gabrielli,"1,804 students"
Hip Hop Songwriting: Writing to Avoid Clichés,https://www.skillshare.com/en/classes/Hip-Hop-Songwriting-Writing-to-Avoid-Clich%C3%A9s/1148806507,14m,Enongo Lumumba-Kasongo,"3,996 students"
From Hobby to Calligraphy Business: 4 Ways to Start Getting Clients,https://www.skillshare.com/en/classes/From-Hobby-to-Calligraphy-Business-4-Ways-to-Start-Getting-Clients/961263403,1h 16m,Ciarra Rouwhorst,"1,619 students"
"Pattern Collections and Portfolios: Dos, Don'ts, and Myths",https://www.skillshare.com/en/classes/Pattern-Collections-and-Portfolios-Dos-Donts-and-Myths/429464630,1h 15m,Melissa Lee,995 students
From Everyday to Extraordinary: Paint an Object 3 Ways - Pineapple,https://www.skillshare.com/en/classes/From-Everyday-to-Extraordinary-Paint-an-Object-3-Ways-Pineapple/617083099,37m,Ohn Mar Win,"1,816 students"
Lineless Illustrations in Procreate 101: Drawing with Color and Shape,https://www.skillshare.com/en/classes/Lineless-Illustrations-in-Procreate-101-Drawing-with-Color-and-Shape/1706174866,39m,Simon Ip,"2,205 students"
The Art of Typography: Communicate Effectively Through the Power of Type,https://www.skillshare.com/en/classes/The-Art-of-Typography-Communicate-Effectively-Through-the-Power-of-Type/367812909,2h 8m,Faye Brown,"6,168 students"
Watercolor for Beginners: Techniques To Paint Loose Landscapes,https://www.skillshare.com/en/classes/Watercolor-for-Beginners-Techniques-To-Paint-Loose-Landscapes/632478920,2h 8m,Bianca Rayala,"1,451 students"
Fluid Acrylic Painting: Abstract Puddle Pour Method for Beginners.,https://www.skillshare.com/en/classes/Fluid-Acrylic-Painting-Abstract-Puddle-Pour-Method-for-Beginners/629305335,51m,Kaitlin Goodey,"3,136 students"
Watercolor Monochrome Forest Using Color Values,https://www.skillshare.com/en/classes/Watercolor-Monochrome-Forest-Using-Color-Values/588578724,1h 26m,Kolbie Blume,"1,505 students"
Light Theory: Ultimate Course on How to Paint Light,https://www.skillshare.com/en/classes/Light-Theory-Ultimate-Course-on-How-to-Paint-Light/1546809792,1h 32m,Stephanie Böhm,945 students
Introduction to Hand-Drawn Animation With Animatic,https://www.skillshare.com/en/classes/Introduction-to-Hand-Drawn-Animation-With-Animatic/489549294,26m,Jake Bartlett,"8,490 students"
Mastering Planning Vol 1: Hourly and Daily Planning,https://www.skillshare.com/en/classes/Mastering-Planning-Vol-1-Hourly-and-Daily-Planning/1130620349,4h 39m,Timothy Kenny,"1,817 students"
Kinetic Typography Rotation - After Effects Animation,https://www.skillshare.com/en/classes/Kinetic-Typography-Rotation-After-Effects-Animation/1902562596,24m,Klarens Malluta,"3,326 students"
How To Stay Motivated as a Small YouTuber,https://www.skillshare.com/en/classes/How-To-Stay-Motivated-as-a-Small-YouTuber/857289477,13m,Coralie Campbell,"5,645 students"
5 Fun & Easy Winter Watercolour Projects,https://www.skillshare.com/en/classes/5-Fun-Easy-Winter-Watercolour-Projects/2133957962,1h 38m,Sharone Stevens,"1,582 students"
Learn to paint glowing beach landscapes with gouache,https://www.skillshare.com/en/classes/Learn-to-paint-glowing-beach-landscapes-with-gouache/2029415970,38m,Zaneena Nabeel,"1,738 students"
Adobe Premiere Pro: How to Save Time Editing and Edit More Efficiently in Premiere Pro,https://www.skillshare.com/en/classes/Adobe-Premiere-Pro-How-to-Save-Time-Editing-and-Edit-More-Efficiently-in-Premiere-Pro/21569332,16m,Alli Bartlett,"5,444 students"
4 Secrets to Drawing In Perspective Like the Pros,https://www.skillshare.com/en/classes/4-Secrets-to-Drawing-In-Perspective-Like-the-Pros/1565443841,1h 57m,Reuben Lara,"1,831 students"
Make a Clay Mug: Handbuilding Pottery for Beginners,https://www.skillshare.com/en/classes/Make-a-Clay-Mug-Handbuilding-Pottery-for-Beginners/1408838214,53m,Mia Mueller,"2,116 students"
"How to Think Differently: 7 Easy Steps to Master Mental Models, Critical Thinking & Problem Solving",https://www.skillshare.com/en/classes/How-to-Think-Differently-7-Easy-Steps-to-Master-Mental-Models-Critical-Thinking-Problem-Solving/1021657655,1h 25m,Troye Bates,"2,505 students"
Learn Basic Spanish Course LEVEL 1 (Beginners),https://www.skillshare.com/en/classes/Learn-Basic-Spanish-Course-LEVEL-1-Beginners/481659635,4h 54m,Florencia,"3,885 students"
Adobe Illustrator for Fashion (CAD II): Intermediate Technical Design,https://www.skillshare.com/en/classes/Adobe-Illustrator-for-Fashion-CAD-II-Intermediate-Technical-Design/1286991769,1h 12m,Mickaela Roxas,"2,671 students"
SEO Training 2023: Practical SEO Course To Rank #1 On Google + EAT,https://www.skillshare.com/en/classes/SEO-Training-2023-Practical-SEO-Course-To-Rank-1-On-Google-EAT/1085155147,6h 12m,Jackie Owen,"3,057 students"
Google Ads: 12 Steps to your First Google Adwords Campaign,https://www.skillshare.com/en/classes/Google-Ads-12-Steps-to-your-First-Google-Adwords-Campaign/640990731,1h 10m,Diego Davila,"2,323 students"
Travel Sketching in Italy: Simplify a Complex Scene,https://www.skillshare.com/en/classes/Travel-Sketching-in-Italy-Simplify-a-Complex-Scene/806972093,48m,Amy Stewart,"1,868 students"
Create Simple Geometric Patterns using Procreate on the iPad,https://www.skillshare.com/en/classes/Create-Simple-Geometric-Patterns-using-Procreate-on-the-iPad/1070949978,1h 5m,Mel Armstrong,"1,108 students"
YouTube Success 2023: Create Exciting and Authentic Travel Vlogs – A Beginner’s Guide,https://www.skillshare.com/en/classes/YouTube-Success-2023-Create-Exciting-and-Authentic-Travel-Vlogs-%E2%80%93-A-Beginner%E2%80%99s-Guide/504756085,1h 26m,Adi Singh,"2,176 students"
Analog Photography: How to Develop Black & White Film,https://www.skillshare.com/en/classes/Analog-Photography-How-to-Develop-Black-White-Film/1039641772,43m,Andre D. Wagner,"2,262 students"
Monoprinting with the Gelli Plate,https://www.skillshare.com/en/classes/Monoprinting-with-the-Gelli-Plate/1019821795,35m,Cookie Redding,"1,859 students"
Intro to Watercolor Sunsets - a Step by Step guide to Painting Light,https://www.skillshare.com/en/classes/Intro-to-Watercolor-Sunsets-a-Step-by-Step-guide-to-Painting-Light/1912586157,45m,Ashley Prejoles,"1,307 students"
Create The Most Powerful Sourdough Starter: Intro To Baking Bread & Pastries,https://www.skillshare.com/en/classes/Create-The-Most-Powerful-Sourdough-Starter-Intro-To-Baking-Bread-Pastries/1250282440,12m,Marceau Dauboin,"4,060 students"
Equalization in the audio mix: learn how to EQ effectively,https://www.skillshare.com/en/classes/Equalization-in-the-audio-mix-learn-how-to-EQ-effectively/1844410777,36m,Marco Galvan,"1,798 students"
Screen Printing Fundamentals,https://www.skillshare.com/en/classes/Screen-Printing-Fundamentals/66636499,1h 18m,Erik Romanyschyn,"1,648 students"
"Vision Board Class - Learn How To Set Goals, Dream Big, and Find Your Why",https://www.skillshare.com/en/classes/Vision-Board-Class-Learn-How-To-Set-Goals-Dream-Big-and-Find-Your-Why/1607746912,26m,Stacie Bloomfield,"2,631 students"
Fictionalize Your Life: How To Keep A Writer's Diary,https://www.skillshare.com/en/classes/Fictionalize-Your-Life-How-To-Keep-A-Writers-Diary/13432633,33m,R.C. Waldun,"1,406 students"
Teach a Skillshare Class: Screencasting,https://www.skillshare.com/en/classes/Teach-a-Skillshare-Class-Screencasting/1814287915,35m,Ceremony Films,"3,305 students"
How To START Your YouTube Channel? (The One SECRET),https://www.skillshare.com/en/classes/How-To-START-Your-YouTube-Channel-The-One-SECRET/1247369739,17m,Peter BVCCO,"3,629 students"
Step-By-Step Beginner Guide To Watercolor Painting With Easy Projects,https://www.skillshare.com/en/classes/Step-By-Step-Beginner-Guide-To-Watercolor-Painting-With-Easy-Projects/1179945190,4h 30m,ROBERT JOYNER,"1,462 students"
Mobile Photography Course: Your Complete Guide,https://www.skillshare.com/en/classes/Mobile-Photography-Course-Your-Complete-Guide/519858878,3h 3m,Phil Ebiner,"2,824 students"
3 Minute Portuguese - Course 1 | Language lessons for beginners,https://www.skillshare.com/en/classes/3-Minute-Portuguese-Course-1-Language-lessons-for-beginners/445403207,6h 32m,Kieran Ball,"2,292 students"
Drawing Comic Style Faces Using Traditional Art Supplies,https://www.skillshare.com/en/classes/Drawing-Comic-Style-Faces-Using-Traditional-Art-Supplies/1370342457,1h 8m,Robert Marzullo,"2,432 students"
Learn to Paint an Abstract Landscape Painting with Acrylics,https://www.skillshare.com/en/classes/Learn-to-Paint-an-Abstract-Landscape-Painting-with-Acrylics/43170530,47m,Jacquie Gouveia,"1,813 students"
"Creating Abstract Florals: Using Watercolors, Ink, Colored Pen or Pencil",https://www.skillshare.com/en/classes/Creating-Abstract-Florals-Using-Watercolors-Ink-Colored-Pen-or-Pencil/1318045925,31m,Juliet Bedell,"3,359 students"
Galloping Brown Hare. A Free-Flow Watercolour Masterclass with Jane Davies,https://www.skillshare.com/en/classes/Galloping-Brown-Hare-A-Free-Flow-Watercolour-Masterclass-with-Jane-Davies/934708748,1h 28m,Jane Davies,709 students
Singing Like a Pro: Exercises to Help You Find Your Unique Voice,https://www.skillshare.com/en/classes/Singing-Like-a-Pro-Exercises-to-Help-You-Find-Your-Unique-Voice/1611527816,1h 24m,Eve Williams,"5,597 students"
Digital Art Tutorial: How to Paint Stylized Portraits,https://www.skillshare.com/en/classes/Digital-Art-Tutorial-How-to-Paint-Stylized-Portraits/1237789603,36m,Maxine Vee,"3,319 students"
Blender 3D essentials,https://www.skillshare.com/en/classes/Blender-3D-essentials/797163962,3h 1m,Widhi Muttaqien,"3,449 students"
Watercolor Painting: Get to Know Your Water & Colors With Moody Washes,https://www.skillshare.com/en/classes/Watercolor-Painting-Get-to-Know-Your-Water-Colors-With-Moody-Washes/2061485715,1h 41m,Marie-Noëlle Wurm,715 students
How to Make a Coptic Stitch Sketchbook,https://www.skillshare.com/en/classes/How-to-Make-a-Coptic-Stitch-Sketchbook/1196354623,40m,Maribel Reyes,"2,428 students"
Create Realistic Looking Forests & Mountains in Blender,https://www.skillshare.com/en/classes/Create-Realistic-Looking-Forests-Mountains-in-Blender/555754338,2h 37m,Yassine Larayedh,"1,074 students"
Toned Paper: Stunning and Simple Illustrations in Black and White,https://www.skillshare.com/en/classes/Toned-Paper-Stunning-and-Simple-Illustrations-in-Black-and-White/1562848812,1h 15m,Ohn Mar Win,"1,360 students"
Complete Beginners Guide to Blender 3D,https://www.skillshare.com/en/classes/Complete-Beginners-Guide-to-Blender-3D/1329560281,4h 43m,Harry Helps,"1,963 students"
Systematic Content Marketing For Freelancers,https://www.skillshare.com/en/classes/Systematic-Content-Marketing-For-Freelancers/935083977,2h 38m,John Morris,"1,633 students"
LinkedIn for Career Changers: Crafting Your Story Online,https://www.skillshare.com/en/classes/LinkedIn-for-Career-Changers-Crafting-Your-Story-Online/740339706,16m,Debbie Tyson,"3,088 students"
Product Styling for a Higher Revenue,https://www.skillshare.com/en/classes/Product-Styling-for-a-Higher-Revenue/704234440,20m,Marianne Krohn,"3,282 students"
Add Value To Your Art - Basic Acrylic Painting Fundamentals,https://www.skillshare.com/en/classes/Add-Value-To-Your-Art-Basic-Acrylic-Painting-Fundamentals/1141582140,1h 18m,ROBERT JOYNER,"2,022 students"
Making a Fun Animated Logo using Procreate 5X,https://www.skillshare.com/en/classes/Making-a-Fun-Animated-Logo-using-Procreate-5X/932289881,2h 15m,Chris Piascik,"2,376 students"
Pricing Your Freelance Work: How Much To Charge?,https://www.skillshare.com/en/classes/Pricing-Your-Freelance-Work-How-Much-To-Charge/412212192,24m,Lindsay Marsh,"2,765 students"
Intermediate Excel for the Real World: Cleaning Data for Analysis and Forecasting,https://www.skillshare.com/en/classes/Intermediate-Excel-for-the-Real-World-Cleaning-Data-for-Analysis-and-Forecasting/912733650,1h 22m,Al Chen,"2,530 students"
Chinese Level 1,https://www.skillshare.com/en/classes/Chinese-Level-1/1810305429,11h 23m,Felix Lattman,"4,325 students"
How To Write A Thesis  - A Complete Research Writing Guide,https://www.skillshare.com/en/classes/How-To-Write-A-Thesis-A-Complete-Research-Writing-Guide/404076159,3h 40m,Dr Amina Yonis,"2,407 students"
Yoga For Flexibility: 15 Minutes x 15 Days,https://www.skillshare.com/en/classes/Yoga-For-Flexibility-15-Minutes-x-15-Days/1829298506,3h 48m,Abi Carver,"3,251 students"
Programming Graphics II: Generative Art Animation,https://www.skillshare.com/en/classes/Programming-Graphics-II-Generative-Art-Animation/388564917,7h 46m,Joshua Davis,"3,087 students"
Flowers - Beautiful Botanicals Basic Shapes,https://www.skillshare.com/en/classes/Flowers-Beautiful-Botanicals-Basic-Shapes/603692379,29m,Jane Snedden Peever,"2,640 students"
Oil Painting for Beginners - Materials (Non-Toxic) & Basic Techniques,https://www.skillshare.com/en/classes/Oil-Painting-for-Beginners-Materials-Non-Toxic-Basic-Techniques/115406511,2h 33m,Rachael Broadwell,940 students
Master Graphic Design & Software with Practical Projects,https://www.skillshare.com/en/classes/Master-Graphic-Design-Software-with-Practical-Projects/736885817,10h 21m,Lindsay Marsh,"4,527 students"
"Let’s Play With Flowers: Illustration, Composition & Color Practice in Adobe Illustrator",https://www.skillshare.com/en/classes/Let%E2%80%99s-Play-With-Flowers-Illustration-Composition-Color-Practice-in-Adobe-Illustrator/1103308151,1h 6m,Di Ujdi,"1,666 students"
Blender 2. 8 Game Character Creation,https://www.skillshare.com/en/classes/Blender-2-8-Game-Character-Creation/347201654,9h 6m,Darrin Lile,"1,341 students"
SOLIDWORKS Class 6 : SOLIDWORKS Basic Assemblies,https://www.skillshare.com/en/classes/SOLIDWORKS-Class-6-SOLIDWORKS-Basic-Assemblies/1655746414,55m,Tayseer Almattar,"1,040 students"
