,title,level,language,crediteligibility,link
17842,The Complete Binary & Synthetic Trading Course,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/Watercolor-Landscape-Dancing-Northern-Lights-and-Pine-Forest/1797522122
10352,Fundamentals of Intelligent Sustainable Business,All Levels,German,No,https://www.skillshare.com/en/classes/Sketching-with-Pen-and-Ink-FREE-worksheets-included/491043511
13325,DropShip Supplier Mastery: How to Find DropShip Suppliers,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/How-To-Paint-Mushrooms-with-Watercolors-and-Ink/1728652936
18811,IT Asset Management (ITAM) - Hardware Asset Management (HAM),Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Glam-Your-Instagram-How-To-Brand-Your-Photos-On-Instagram/1777356574
1429,Python 101,Expert,French,No,https://www.skillshare.com/en/classes/Sell-Your-Art-Masterclass-Part-2/992932334
10154,B2B Sales Masterclass: People-Focused Selling,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Exploring-Photographic-Style-The-Power-of-%E2%80%9CWonderlust%E2%80%9D-Imagery/1225152530
14200,Short Selling: Learn To Sell Stocks Before The Fall,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Introduction-to-Jewelry-Making-From-Amateur-to-Artist/1936774143
15621,Beginner’s Guide to ICO (Initial Coin Offering),Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Start-Your-Own-Home-SEO-Business-The-Complete-Blueprint/1208903555
15973,Cryptocurrency Investing for Beginners,Beginner,English,Yes,https://www.skillshare.com/en/classes/Illustration-Tips-Have-Fun-with-Digital-Art/1327928435
3197,Godot Game Engine - The Complete Course,Intermediate,English,Yes,https://www.skillshare.com/en/classes/IELTS-Speaking-Pro-7-English-Language/1676709084
14077,QuickBooks Online-Bookkeeping Business-Easy Way,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Soft-Pastels-For-Beginners/574202474
20476,Practical Aspects of Information System Audit (For Beginner),All Levels,German,Yes,https://www.skillshare.com/en/classes/Figma-create-a-Design-System/894614838
2751,OpenAPI (Swagger) Specification for Software Developers,Beginner,English,Yes,https://www.skillshare.com/en/classes/Mailchimp-Mastery-Learn-Email-Marketing/2014481470
3393,WPBakery Page Builder / Visual Composer Master Course,Beginner,French,No,https://www.skillshare.com/en/classes/The-4-Core-Crochet-Stitches-Beginners-Crochet-Class/338809336
6715,SwiftUI & iOS 16 App Development - Instagram & TikTok,All Levels,German,Yes,https://www.skillshare.com/en/classes/How-to-Paint-Watercolor-Leaves-on-Your-iPad-in-Procreate-FREE-Digital-Watercolor-Brushes/272956085
8139,Blender and Godot 4: Make a Low poly Ps1 Style Horror game,Expert,Spanish,No,https://www.skillshare.com/en/classes/Marketing-Your-Blog-Business-Writing-the-Perfect-About-Page/1085279994
6206,Linux Desktop Automation,Intermediate,French,No,https://www.skillshare.com/en/classes/Bring-Your-Sketchbook-to-Life-Creating-Interactive-Sketchbook-Pages-with-Samantha-Dion-Baker/1031762895
7725,"iOS 16 SWIFTUI 3 Loan Tracker MVVM, CoreData & Cloud Kit",Intermediate,English,Yes,https://www.skillshare.com/en/classes/Animate-a-Walk-Cycle-Frame-By-Frame-in-Adobe-Animate/434931467
21215,The Ultimate SAP S/4HANA Course 2023: From Zero to Expert,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Learn-to-Paint-Watercolor-A-Step-by-Step-Painting-for-Beginners-Exploring-Fun-Basic-Techniques/908879129
22143,Access 2016 Intermediate,Intermediate,German,Yes,https://www.skillshare.com/en/classes/How-to-Paint-Black-Animals-in-Watercolor/442778881
21173,Oracle SQL Developer: Mastering its Features + Tips & Tricks,Expert,English,No,https://www.skillshare.com/en/classes/Design-Your-Own-Fonts-From-Paper-to-Screen/1192516437
451,Deep Learning: Recurrent Neural Networks in Python,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Yoga-For-Beginners-A-15-Day-Foundational-Course/1955962714
6883,Master JavaScript - The Most Complete JavaScript Course 2022,Expert,German,No,https://www.skillshare.com/en/classes/Acrylic-Painting-How-to-Paint-Realistic-Water-Ocean-Painting/422351890
1606,"Git & GitHub with Eclipse, Android studio & IntelliJ",Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Instagram-Ads-for-Business-Step-by-Step-Process-to-a-Successful-Instagram-Ad-Campaign/759933876
20410,Microsoft 70-744: Securing Windows Server 2016,Expert,French,No,https://www.skillshare.com/en/classes/Instagram-Illustration-Make-Shareable-Art-for-Social-Change/95412898
23712,Adobe InDesign CC Complete Masterclass: Learn Adobe InDesign,All Levels,French,No,https://www.skillshare.com/en/classes/Create-Your-Simple-Watercolor-Calendar/1486263238
5107,Machine Learning and Deep Learning using Tensor Flow & Keras,Expert,German,No,https://www.skillshare.com/en/classes/Art-School-Boot-Camp-Transforming-Ideas-into-Art/876837085
20271,Learn ggplot2 in R for Data Visualization,Expert,German,No,https://www.skillshare.com/en/classes/Creative-Cinematography-5-Lighting-Your-Videos/21597386
5081,Web Development HTML CSS & JS  a  Beginner to Advance guide,All Levels,German,Yes,https://www.skillshare.com/en/classes/Easy-Animated-Icons-in-Adobe-After-Effects/834597236
3508,Android Firebase Masterclass - Master Google Firebase,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Create-Soft-Pastel-Drawings-on-Your-iPad-in-Procreate-12-Free-Brushes-and-Templates/566789577
23917,UI UX Design Patterns - by University UX Instructor - 2023,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Professional-Beauty-Retouching-in-Photoshop-2-0/374342644
20871,Configuring and Operating MS Azure Virtual Desktop (AZ-140),Intermediate,German,No,https://www.skillshare.com/en/classes/Beginners-Japanese-Daily-Phrases-to-Travel-and-Communicate/201874723
12586,SAS SQL for the SAS Programmer/Analyst,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Introduction-to-Weaving-Creating-a-Necklace/1068521049
12082,Pentaho(PDI) Fundamentals and DWH Concepts,Intermediate,French,No,https://www.skillshare.com/en/classes/YOUTUBE-SUCCESS-How-To-Write-the-PERFECT-YOUTUBE-VIDEO-SCRIPT-To-Help-Improve-Your-Content/76942540
14848,Certification in Kagi (TA) Charts & Smiling Buddha Strategy,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Printmaking-at-Home-Creating-Linocut-Patterns/1080218910
8525,Scala in Practice,Beginner,French,No,https://www.skillshare.com/en/classes/Watercolour-How-to-Paint-White-Flowers/2028412769
21383,Python for Excel: Use xlwings for Data Science and Finance,Intermediate,French,Yes,https://www.skillshare.com/en/classes/30-Days-of-Dreamy-Watercolor-Landscapes-Embark-on-a-Creative-Journey-with-Me/1795314580
24507,Instagram Growth Academy | Learn to grow and monetize IG,Expert,Spanish,No,https://www.skillshare.com/en/classes/Build-Your-Digital-Marketing-Agency-Run-Your-Social-Media-Marketing-Business-Full-Course/1249168567
11658,Learn the Secrets of Probate Real Estate Investing,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Sell-Your-Art-Online-Launch-and-Run-an-Online-Store/822102102
12181,"2024 Business Analyst Workshop: Excel, Stats, SQL, Tableau",All Levels,French,Yes,https://www.skillshare.com/en/classes/Getting-Started-with-Notion-Beginner-to-Advanced/1709609138
10650,Break out of Excel and into Tableau in 90 Minutes,Beginner,English,No,https://www.skillshare.com/en/classes/Classic-Roast-Chicken-A-Recipe-for-All-Seasons-Learn-with-Plated/1743193408
22805,How To Be Hyper Productive When Working From Home Off-Site,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Logo-Design-Techniques-in-Adobe-Illustrator-6-Projects-for-Beginners/760838066
25116,Portrait Photography: Share with Joy!,Expert,French,No,https://www.skillshare.com/en/classes/Project-Management-Certification-Become-a-Project-Manager/2143719728
7305,AI Machine Learning Complete Course: for PHP & Python Devs,Expert,Spanish,No,https://www.skillshare.com/en/classes/Drum-Programming-Masterclass-Part-2-Samplers-Sequencing/217432763
21254,The Complete Power BI Practical Course 2023,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Create-A-Food-Package-Design-A-Graphic-Design-Project-for-Beginners/561604636
14474,Series 7 Exam Preparation: Equity Securities,Intermediate,French,Yes,https://www.skillshare.com/en/classes/InstaFamous-Instagram-Marketing-Followers-to-Profit/1337030452
8965,"MERN Stack Resume Builder - React , Node , Mongo DB , AntD",Beginner,English,Yes,https://www.skillshare.com/en/classes/The-Complete-History-of-Music-Part-1-Music-of-the-Antiquity-Medieval-Periods/2118271422
17981,The Complete Revision Guide to Risk Management,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Sell-Print-on-Demand-on-Etsy-with-Printify-Complete-Guide/484074970
24953,Numerology Practitioner Certification,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Gradient-Chrome-Effect-Experiments-in-Photoshop/351874378
2081,Learn the Vulkan API with C++,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Local-SEO-A-Definitive-Guide-To-Local-Business-Marketing/696182467
13590,#1 Cryptocurrency Investment Course: A Step-By-Step Guide,Expert,German,No,https://www.skillshare.com/en/classes/Impress-Me-Illustrating-for-Letterpress/577752769
24780,Professional Advanced Angelic Healing Practitioner Course,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Creating-a-Dynamic-Character-Gesture-Drawing/936490842
21806,Master Excel 2019 PC/Mac with Beginner to Advanced Courses,All Levels,English,No,https://www.skillshare.com/en/classes/How-To-Draw-Anime-Anatomy-For-Beginners-Female-Edition/213259517
5259,Build a Data Analysis Library from Scratch in Python,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/English-Language-and-Grammar-Verbs/1006994185
5219,SwiftUI Covid19 Statistics tracking with REST API & Swift 5,Intermediate,French,Yes,https://www.skillshare.com/en/classes/How-to-use-Google-Analytics-to-set-your-SEO-strategy/1195425836
7204,The Complete Beginner's Guide to Unity for Game Development,Beginner,Chinese,No,https://www.skillshare.com/en/classes/License-Your-Artwork-Learn-to-Craft-Compelling-Groups/1766377566
18758,Advanced Scripting & Tool Making using Windows PowerShell,Expert,Chinese,No,https://www.skillshare.com/en/classes/Basic-Watercolor-Techniques-for-Beginners/637087367
12904,Leveraging LinkedIn Sales Navigator to Grow Your Business,Intermediate,French,No,https://www.skillshare.com/en/classes/Stop-Motion-In-After-Effects-Animate-Collage-Style-Explainer-Videos/713475182
13308,Personal Productivity Life Coach Certification5 Training,Intermediate,German,No,https://www.skillshare.com/en/classes/Video-Editing-Make-ANY-VIDEO-look-LIKE-A-MOVIE-in-Premiere-Pro/1442332986
24651,Instagram Hashtags Marketing in 2021: Smart Instagram Growth,Expert,English,Yes,https://www.skillshare.com/en/classes/Confident-Quilting-Part-1-Design-Piece-a-Mini-Quilt-Top/683330036
10120,Intro to ChatGPT and Generative AI,Expert,Spanish,No,https://www.skillshare.com/en/classes/Skillshare-Talks-Martina-Flor-on-Cultivating-Creative-Side-Projects-to-Grow-Her-Lettering-Business/1122699248
12398,Get 10 PDUs for PMP / PgMP / CAPM Renew (PMI® Approved),Expert,German,No,https://www.skillshare.com/en/classes/React-101-Learn-React-js-for-absolute-beginners/783465731
5034,"Ultimate PHP, Laravel, CSS & Sass! Learn PHP, Laravel & Sass",All Levels,Chinese,No,https://www.skillshare.com/en/classes/Lettering-in-the-Wild/515965152
2947,C# in 6 Hours: From Beginner to Pro!,Beginner,French,Yes,https://www.skillshare.com/en/classes/Easy-Interior-Design-Create-a-Space-for-Function-and-Flow/1926620605
11214,An Introduction to Stata,Beginner,French,No,https://www.skillshare.com/en/classes/How-To-Make-A-Website-With-Wordpress-2019-Divi-Theme-Tutorial/1077012329
5928,End to End React with Prisma 2,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/How-to-Create-Watercolor-Figures-on-Your-iPad-in-Procreate-FREE-Digital-Watercolor-Brushes/50393913
3316,SQL Server 2019: What’s New - New and Enhanced Features,Expert,French,Yes,https://www.skillshare.com/en/classes/From-Sketch-to-Vector-Digitize-Your-Sketches-With-The-Shape-Builder-Tool-in-Adobe-Illustrator/1282810446
14994,Accounting Fundamentals Using Quickbooks,Beginner,French,Yes,https://www.skillshare.com/en/classes/Draw-Paint-WATER-In-depth-Explanation-with-Watercolor-Gouache-Digital-paint-demos/710594968
12441,GDPR Certification - Be Prepared for CIPP/E Certification,Expert,German,No,https://www.skillshare.com/en/classes/Paint-Three-Joyful-Abstracts/1296367000
14753,DeFi- Decentralized Finance - Future of Finance Masterclass,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Technical-Writing-Getting-Started/324628076
12187,Project Management Fundamentals: A Beginner's Guide,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Watercolor-Fun-Paint-a-Floral-Wreath-with-Birds/590000966
24738,Professional Accredited Angelic Healing Practitioner  Course,Expert,German,Yes,https://www.skillshare.com/en/classes/How-to-Organize-your-Life-and-Work-5-Day-Organization-Challenge/1124130435
8180,Becoming Interview ready in Flutter 2023,Intermediate,French,No,https://www.skillshare.com/en/classes/Vector-Basics-Mastering-the-Illustrator-Pen-Tool-with-Fun-Results/129287307
13164,Primavera P6 Professional For beginners,Beginner,German,No,https://www.skillshare.com/en/classes/Watercolor-Dragonfly-Easy-and-Fun-Watercolor-Project/2117712120
7341,Learn C# by Creating a Fun Life Simulator Game in Unity,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Floral-Wreath-Watercolor-Painting/225657384
9761,Web Development With Google Maps,Beginner,German,No,https://www.skillshare.com/en/classes/The-Essentials-of-Body-Language/1570870423
20386,[NEW]JNCIA-Junos JN0-104 Practice Exams,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Build-a-Highly-Converting-Shopify-eCommerce-Store-in-90-Mins/306241270
18382,GCP Associate Cloud Engineer - Google Cloud Certification,Intermediate,French,No,https://www.skillshare.com/en/classes/The-Vision-of-Leadership-How-to-Build-a-Social-Mission-Driven-Brand/977989731
3537,Complete Step By Step Python For Testers,All Levels,German,Yes,https://www.skillshare.com/en/classes/Decorate-Your-iPad-Lettering-Free-Lettering-Templates-Textures/1469949867
9594,Build Dating/Chatting app from scratch in android,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Digital-Painting-in-Procreate-Watercolor-Leaves/681538828
25487,Advanced Reflexology Certificate Course (3 CEU),Intermediate,French,Yes,https://www.skillshare.com/en/classes/Making-a-Leather-Jacket-How-to-Design-and-Sew-Your-Dream-Jacket/955147718
5191,Asynchronous Javascript from A to Z,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Skillshare-Audio-How-Mimi-Chao-Created-Her-Dream-Creative-Career/1316541690
19265,Hands-on Penetration Testing Labs 1.0,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Introduction-To-Watercolor-Painting-Magnolia-Flowers-Using-Simple-Techniques/1163773078
14313,QuickBooks 2021 Desktop: Beginner-Advanced Masterclass,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/SOCIAL-SKILLS-Double-Your-Social-Skills-Make-New-Friends-Communication-Skills-Tips/782312280
5354,Microsoft Dynamics AX 2012 R3 Programming - Level 2,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Create-a-Resin-Geode/1042357603
15009,Forex Trading - Learn How To Double Your Cash Trading Online,Intermediate,English,No,https://www.skillshare.com/en/classes/Learn-Design-An-Introduction-to-Figma/626526627
5638,"React Native Complete Course with Router, Hooks and Context",Expert,Spanish,No,https://www.skillshare.com/en/classes/Create-a-T-Shirt-in-Canva/2019910773
18709,"CISSP: How to study (plans, tips, materials, approach) 2023",All Levels,German,No,https://www.skillshare.com/en/classes/The-History-of-Graphic-Design-Influential-Style-Art-Movements/75523555
1632,Complete guide to AWS Step Functions,Expert,Chinese,No,https://www.skillshare.com/en/classes/Redshift-for-Cinema-4D-Masterclass/1981748694
9853,Supply Chain Fundamentals:  Understanding the Basics,Beginner,English,Yes,https://www.skillshare.com/en/classes/Digitising-Watercolors-Step-by-step-Guide/1602223843
3169,The Complete HTML5 & CSS3 Course Build Professional Websites,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Bring-Your-Patterns-to-Life-Using-Photos-as-Mockups/376888899
20990,Visual Basic for Applications - Excel VBA - The full course,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Things-Organised-Neatly-Design-Principles-Simple-Vectors-in-Illustrator/1371579206
14234,The Intelligent Investor,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Adobe-Illustrator-Nuggets-For-Surface-Designers-Level-Up-Your-Art-Skills/137528060
17583,Create & Bulk Upload NFT Collection on Opensea with Metadata,Beginner,English,Yes,https://www.skillshare.com/en/classes/Painting-Cactus-in-Pots-using-Procreate/1332899680
13438,Crowdfunding Formula for Success & to Get Fully Funded 2023,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/How-to-Write-the-PERFECT-YouTube-Video-Script-Improve-your-Content/1345362682
21316,SAP Financial Accounting and Controlling Super User Training,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Surface-Pattern-Design-In-Procreate-With-Easy-To-Use-Templates/1402173501
6735,Mastering C Programming: From Basic to Advanced Techniques,All Levels,Chinese,No,https://www.skillshare.com/en/classes/How-to-Paint-Draw-Abstracts-From-Start-To-Finish-Class-1/2008106463
466,"Complete JAVASCRIPT with HTML5,CSS3 from zero to Expert-2023",All Levels,Chinese,No,https://www.skillshare.com/en/classes/Line-Drawn-Florals-Step-by-step-guide-to-drawing-beautiful-peonies/869722485
18700,The Complete Wireshark Course: Go from Beginner to Advanced!,Expert,English,No,https://www.skillshare.com/en/classes/iPad-Art-Create-Line-Art-and-Coloring-Pages-in-Procreate/1174385330
15405,Practical Trading Strategies in Futures & Options.,Expert,German,No,https://www.skillshare.com/en/classes/Logo-Design-For-Versatility-How-Big-Brands-Have-Adapted/414616921
17137,How To Detect A Stock Market Correction Or Crash,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Self-Publish-a-Best-Selling-Book/395310683
5564,Blockchain Programming with Hyperledger Composer and Fabric,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Cornerstones-of-Cooking-Secrets-to-Saute/1860828673
16333,How To Buy Solar And Start Generating Passive Income,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Design-With-Watercolors-Your-Own-Postcard-Set-From-Sketch-to-Ready-For-Print-File/1567272322
16249,The BEST Futures Trading Course for All Levels (2023),Intermediate,German,Yes,https://www.skillshare.com/en/classes/Beginners-Guide-to-reflect-inner-self-A-Polaroid-Series/1896136828
14185,Identifying AML Suspicious Transactions,Intermediate,English,No,https://www.skillshare.com/en/classes/Touches-of-Metallic-Magic/1298752703
20755,Premiere Pro Mastery Course: Learn Premiere Pro by Creating,Intermediate,English,No,https://www.skillshare.com/en/classes/Avid-Pro-Tools-Audio-Recording-For-Beginners-In-ProTools/1264924230
17598,How To Create NFT To Boost Your Business,Beginner,French,No,https://www.skillshare.com/en/classes/Modern-Crochet-101-Create-a-Pair-of-Fingerless-Mitts/887053861
20370,Cisco Identity Services Engine (ISE) - Deep Dive,Intermediate,French,No,https://www.skillshare.com/en/classes/Instagram-Reels-For-Artists-Making-Reels-that-Serve-a-Purpose/860936441
3350,Wix Website SEO | Wix SEO| Wix Search Engine Optimisation,All Levels,German,No,https://www.skillshare.com/en/classes/Fun-Simple-Watercolor-Cacti-3-Color-Themes/1107636202
3735,Helm - The Kubernetes Package Manager hands-on course,Beginner,German,No,https://www.skillshare.com/en/classes/The-Art-of-Data-Analytics-in-Everyday-Life/1706840815
4471,Data Warehousing,Expert,Spanish,No,https://www.skillshare.com/en/classes/Ultimate-Ableton-Live-11-Part-6-Mixing-Mastering-and-DJing/1033235142
18823,Practical OpenShift for Developers - OpenShift 4,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Painting-With-Gouache-Glowing-Greens-Spice-Up-Your-Summer-Landscapes/1415276685
26210,Academic Writing Essentials: University Writing Crash Course,Expert,German,No,https://www.skillshare.com/en/classes/Negative-Painting-in-Watercolor-for-Beginners-Ginkgo-Leaves/193111827
16286,Pre-Revenue New Venture and New Product Valuation Part 1,Expert,Chinese,No,https://www.skillshare.com/en/classes/Formatting-and-Design-for-Self-Publishers/263431123
19549,The Complete Linux LPIC-1 Certification Course Exams 101-102,Beginner,German,Yes,https://www.skillshare.com/en/classes/Davinci-Resolve-15-Editing/346763950
22222,Google Sheets - Dashboard Design,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Pattern-Bites-Simple-Surface-Design-Reusable-Layout-Adobe-Illustrator/624283072
1580,Agile Scrum: An Overview,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Novel-Writing-Creating-Loveable-Characters-in-5-Easy-Steps/525903361
22818,"Succeed, Influence and Inspire as a Woman in Leadership",Expert,French,Yes,https://www.skillshare.com/en/classes/Your-First-3D-Sculpt-Blender-3-0/465278444
9887,Better Virtual Meetings: How to Lead Effective Meetings,Beginner,German,No,https://www.skillshare.com/en/classes/Colouring-With-Markers-Create-Texture-Effects/328797845
19832,CompTIA Network+ N10-008 Video Bootcamp,Beginner,German,No,https://www.skillshare.com/en/classes/Tips-to-Get-a-Less-Digital-Look-on-Your-Digital-Art/742235919
11146,Homebase Business Ebay Dropshipping Beginners Guide business,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Setting-up-your-Woodshop/1207728870
13153,Write Now! Become a Confident & Effective Writer in One Hour,All Levels,English,Yes,https://www.skillshare.com/en/classes/Create-an-Amazing-3D-Letter-in-Procreate/2071896241
19939,VMWare for Absolute Beginners,Beginner,German,No,https://www.skillshare.com/en/classes/Cyanotypes-Introduction-to-Botanical-Art-Prints-Create-Ready-to-Hang-Art/151973892
8377,Create and Deploy Java EE 8 Apps on Docker and Kubernetes,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Learn-the-Benefits-and-Uses-of-Popular-Essential-Oils/1177130620
23854,Ultimate CSS Grid Course: From Beginner to Advanced,All Levels,French,No,https://www.skillshare.com/en/classes/Mysterious-Gouache-Landscape-A-Detailed-Class/1712771284
24454,Master Google Analytics (UA) with Tag Manager & Data Studio,All Levels,English,No,https://www.skillshare.com/en/classes/File-Organization-for-Creatives-Using-Dropbox-Airtable/856168686
17926,HOW TO BUILD WEALTH FROM SCRATCH,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Hand-Lettering-Turning-Words-Into-Art/70513627
844,Mastering Amazon Redshift Development & Administration,All Levels,English,No,https://www.skillshare.com/en/classes/Street-Photography-Techniques/1517066152
19635,Introduction to Embedded Systems,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Pencil-Drawing-The-Fundamental-Guide/106568171
18235,Financial Fundamentals for Non-Financial Managers: A Guide,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Intro-to-Digital-Audio-Recording-Learn-the-Basics-of-Reaper-DAW/1180234006
20843,Introduction to Google Cloud IoT,Beginner,French,Yes,https://www.skillshare.com/en/classes/Learn-Fabric-Manipulation-Techniques/2033083235
9414,MySQL Tutorial for Beginners | Learn MySQL,Beginner,English,Yes,https://www.skillshare.com/en/classes/Watercolor-Mixing-Chart-Bonus-Fountain-Pens-Setting-up-a-Palette/1584027532
12667,(Oxford) MBA: The Fifty Hour MBA (Master Course),All Levels,French,No,https://www.skillshare.com/en/classes/Crystal-Therapy-101-Crystal-Healing-Basics/640941576
21184,Google Cloud Productivity - Drive and Google's Office Suite,Beginner,German,No,https://www.skillshare.com/en/classes/Bookbinding-Beginners-Class-Making-a-Hardcover-Binding/829588669
19026,The Complete Python Hacking Course: Beginner to Advanced,Expert,English,No,https://www.skillshare.com/en/classes/Foundations-for-Mastering-Watercolor-Painting-3-Paper-Supplies/989593283
4202,Unity 3D Master Class - Game Development For Beginners,Intermediate,English,No,https://www.skillshare.com/en/classes/Build-Your-Website-Using-Bootstrap/617661571
11932,Continuous Improvement / Operational Excellence,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Intro-to-UX-Research-Creating-a-User-Research-Plan/1637816062
1398,The Complete Unity Indie Game Developer Course,All Levels,English,No,https://www.skillshare.com/en/classes/Design-a-Professional-Floral-Arrangement-at-Home-Beginner-Friendly/1628793502
4645,Wix Web Design 2024: Level 2: Intermediate*Certified Trainer,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/You-Can-Draw-Paint-10-Cute-Forest-Animals-Learn-Drawing-for-Beginners/617167699
121,Apache Spark with Scala - Hands On with Big Data!,Expert,German,No,https://www.skillshare.com/en/classes/Windows-in-Watercolor-Develop-Drawing-Shadowing-Painting-Skills/561062296
24756,Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),Expert,German,Yes,https://www.skillshare.com/en/classes/Logo-Design-from-Concept-to-Finish/930550244
4957,Become an Oracle Database Administrator (DBA),Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Watercolor-Landscapes-in-Sketchbook/1719832542
22822,Personal Branding Mastery: The System To Reinvent Yourself!,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Practical-Guide-to-Procreate-Drawing-and-Illustration-on-Your-iPad/870175823
20473,Introduction to Corporate Information Security,Beginner,Spanish,No,https://www.skillshare.com/en/classes/The-Complete-French-Language-Course-Learn-French-Beginners/301887272
19813,Terraform - From Zero to Certified Professional,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Personal-Goals-2023-Setting-Planning-and-Achievement-for-Life-Motivation-and-Success/561906652
18562,Microsoft Excel Data Analysis - Learn How The Experts Use It,All Levels,German,Yes,https://www.skillshare.com/en/classes/How-To-Write-A-Book-Novel-Writing-How-To-Write-A-Novel-Step-by-Step-Creative-Writing-Beginners/1617831029
4580,Data Visualization in Python for Machine Learning Engineers,Intermediate,German,No,https://www.skillshare.com/en/classes/Get-Productive-Time-Management-Hacks-Strategies-and-Tools/1901617096
7745,Unreal Engine 4 - Multiplayer Team Based FPS In Blueprints,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Norwegian-Language-A1-Part-3-Hobbies-Daily-Routines-Shopping-Transportation-Bank-Post-office/308691628
13252,Agile Scrum Retrospective Meetings (in 5 Easy Steps),Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Java-for-Everybody-Basic-Programming-concepts-Part-2/780935373
23528,"Learn Photoshop, Web Design & Profitable Freelancing 2023",Intermediate,Spanish,No,https://www.skillshare.com/en/classes/English-Language-and-Grammar-Prepositions/1257740868
6418,Create a NEW programming Language from scratch,Expert,Spanish,No,https://www.skillshare.com/en/classes/The-Complete-Copywriting-Course-Writing-Every-Word-Your-Business-or-Brand-Needs/623006143
3308,Machine Learning using Python,Expert,Chinese,No,https://www.skillshare.com/en/classes/The-Greeting-Card-Business-Design-and-Sell-Your-Own-Cards/1139879984
13593,Options Trading MasterClass: Options With Technical Analysis,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Landscape-Photography-Shooting-from-an-Aerial-Perspective/354425788
17894,Anti Money Laundering and Know Your Customer MCQs Part 1,Beginner,German,No,https://www.skillshare.com/en/classes/Compressing-GIFS-Like-A-Boss/476256536
25781,The Heavenly Piano Masterclass - Piano Improvisation Mastery,Intermediate,English,No,https://www.skillshare.com/en/classes/Create-Magical-Baubles-in-Procreate/1895827495
22220,Introduction to Microsoft SharePoint Foundation 2013,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Ultimate-Ableton-Live-11-Part-5-Audio-and-MIDI-Effects/1871880260
3548,The Complete Unity 5 Intro - Learn to Build and Design Games,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/Google-My-Business-Complete-Listing-Optimization-Training/2089109942
3286,Master HTML and CSS by building real world projects,Expert,German,Yes,https://www.skillshare.com/en/classes/Dog-Portraits-A-Free-Flow-Watercolour-Masterclass-with-Jane-Davies/1262119718
20614,"Step by Step: Highly Available, Scalable & Secure AWS Stack",Intermediate,French,Yes,https://www.skillshare.com/en/classes/Design-a-Brand-Identity-Write-an-Airtight-Creative-Brief/7441027
